Timestamp,Action,Name,Elapsed Time,Entry Date
2025-03-10 15:05:47,Entry,non-attribué,00:10:10,2025-03-10
2025-03-10 15:05:47,Entry,Meeting FAE,00:30:25,2025-03-10
2025-03-10 15:05:47,Entry,Meeting eng hebdo,00:28:14,2025-03-10
2025-03-10 15:05:47,Entry,Diner,00:31:06,2025-03-10
2025-03-10 15:05:47,Entry,Ravena CODE,00:00:26,2025-03-10
2025-03-10 15:09:21,Start,Diner,00:31:06,2025-03-10
2025-03-10 15:09:23,Stop,Diner,00:31:08,2025-03-10
2025-03-10 15:09:42,Start,Diner,00:31:08,2025-03-10
2025-03-10 15:09:47,Stop,Diner,00:31:13,2025-03-10
2025-03-10 15:09:55,Add Time,Diner,00:41:13,2025-03-10
